tweet_id,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
3388,"Whenever I get sad about how things are going now, I just think of how awesome the future looks to be. #secondsemester #drumcorps #college",0,,,,,,,
2001,"Today's the day, last to chance to sign to show support HTTPURL",0,,,,,,,
1750,"@USER @USER @USER that’s how things like this get so bad. if everyone says it’s not their problem and nobody actually does anything about it, nothing does happen. the us government can use the fed to take action, and it should— even if it’s not their “job” officially",0,,,,,,,
959,#Dallas #traffic I sure missed you! #not @ Downtown Dallas Traffic HTTPURL,1,,,,,,,
4834,not enough essays about hozier saying “i slithered here from eden just to sit outside your door” and all of the implications that go along w it,0,,,,,,,
880,#great #Not #A #All #Burst #Christmas #diy #crafts|Please RT: HTTPURL HTTPURL,1,,,,,,,
3101,thankful our stat teacher is dropping the lowest quiz @USER #lifesaved #not,1,,,,,,,
3675,"@USER How do you propose to determine ""sides""? I have both black and white family members. #racewar #irony #LoveNotWar",1,,,,,,,
4712,#DIY. Change your #MobileCover every day now. Enjoy! HTTPURL,0,,,,,,,
1058,Sure Staff.. Now Hiring. #irony HTTPURL,1,,,,,,,
4499,"#Irony: When some archers fight with ""supple"" bows the way hoplites fight with stiff spears. #Archer=#Hoplite #Bow=#Spear",1,,,,,,,
1459,#WreathAcrossAmerica #Jax it is finnished HTTPURL #honor #FallenHeros in Jax||HTTPURL HTTPURL,0,,,,,,,
2223,".@USER is 100% going to post another photo with 5 holes in a fence 5 days before Lover is released, isn’t she?",1,Taylor swift is so extra.,1.0,0.0,0.0,0.0,0.0,1.0
4767,like this if you own a gray bath mat I’m tryna see something,0,,,,,,,
2796,Do you walk past people and automatically think you’re defo a tory?,0,,,,,,,
556,"@USER really well done. Another short formation, so I get to stand for the 3rd day in a row from Kel to LLS 7:18. Thanks #sarcasm",1,,,,,,,
1830,"#Irony: When some masseuses offer ""soothing"" massages the way reviewers offer stinging criticisms. #Masseuse=#Reviewer #Massage=#Criticism",1,,,,,,,
3895,I really wanted something sweet for breakfast and all I have is dark chocolate so that’s what I’m having!,0,,,,,,,
4468,The ER sucked tonight .. Urgent Care tomorrow .. YAY #not #fml #ugh,1,,,,,,,
31,wow i love only ever buying gray and striped shirts,1,I wish I didn't just buy gray and striped shirts.,1.0,0.0,0.0,0.0,0.0,0.0
4119,@USER y'all are doing a great job at keeping people safe #sarcasm,1,,,,,,,
