tweet_id,tweet,sarcastic,rephrase,sarcasm,irony,satire,understatement,overstatement,rhetorical_question
500,Omg thank u for pointing out that I apologize too much :folded_hands:,1,I hate it when people tell me I apologize too much,1.0,0.0,0.0,0.0,0.0,0.0
4444,Someone got a little hot under the collar today! #AS2013 #RedEd HTTPURL,1,,0.0,0.0,0.0,1.0,0.0,0.0
2464,Is grey in my beard one of Olay's seven signs of ageing?,1,,0.0,0.0,0.0,0.0,0.0,1.0
4327,Someone got a little hot under the collar today! #AS2013 #RedEd HTTPURL,1,,0.0,0.0,0.0,1.0,0.0,0.0
447,i love letting anxiety rule my life ( — :,1,,1.0,0.0,0.0,0.0,0.0,0.0
4464,@USER I'm not religious enough lol,1,,0.0,0.0,0.0,1.0,0.0,0.0
2924,Neil DeGrasse Tyson Presents: Space Odyssey The Game HTTPURL,1,,0.0,0.0,1.0,0.0,0.0,0.0
981,Shout out James Boswell #unibowl,1,James Boswell is a waste man.,1.0,0.0,0.0,0.0,0.0,0.0
867,I picked next year's musical already..Electro City. Obvious choice.,1,"You guys, I just saw the most hysterical fake musical - Electro City! Wouldn’t it be funny if it was a real show we could produce?",0.0,1.0,0.0,0.0,0.0,0.0
2595,27 today.. I am basically 30 with the back of a 40 year old which pretty much puts me at 50.,1,,0.0,0.0,0.0,0.0,1.0,0.0
2059,@USER @USER @USER You might need a drop of tonic with that :winking_face::cocktail_glass:,1,,0.0,0.0,0.0,1.0,0.0,0.0
4305,"@USER They're not doing a very good job at keeping the flatware away from you, are they?",1,,0.0,0.0,0.0,1.0,0.0,0.0
180,watching olympic womens beach volleyball for the plot,1,I watch women's beach volleyball for the hot women.,1.0,0.0,0.0,0.0,0.0,0.0
2538,Haven't they ever heard of Uber? #LondonMarathon,1,,0.0,0.0,0.0,0.0,0.0,1.0
2161,Just a little bit inaccessible. For every reader who licks their fingers before turning the pages.. HTTPURL,1,,0.0,0.0,0.0,1.0,0.0,0.0
2991,"I guess Americans think it's ethical to just let people die when they can't afford healthcare because ""healthcare is not a right"".. Ok. HTTPURL",1,,0.0,0.0,1.0,0.0,0.0,0.0
3645,"Does it have a time machine? RT @USER 1/2 As you might know we are due to have a new £35 million school (to be completed by October 2011). The school, the LA and our Buildings Team have been working hard to design the school and agree on the school’s features..",1,,0.0,0.0,0.0,0.0,0.0,1.0
3104,If you vote tomorrow I'll buy you an ice cream! HTTPURL,1,,0.0,0.0,1.0,0.0,0.0,0.0
517,Update: '39C' in Leicester - apparently :camera_with_flash: @USER #hottestdayoftheyear HTTPURL,1,,0.0,0.0,1.0,0.0,0.0,0.0
1905,you can still get punished for breaking the law if you’re prime minister right..?,1,,0.0,0.0,0.0,0.0,0.0,1.0
176,@USER This feels like a personal attack honestly. :grinning_face_with_sweat:,1,,0.0,0.0,0.0,0.0,1.0,0.0
1390,Who's ready for monsoon storms all weekend?!?!,1,There are going to be monsoon storms all weekend. Is anyone ready for them?,0.0,1.0,0.0,0.0,0.0,1.0
247,"Queer marriage is not allowed because it doesn't follow the ""age-old customs, rituals, practices, culturla ethos and societal values"", but all cis-men can commit infidelity with no consequences. Happy fuckin Pride people :upside-down_face: #SupremeCourtofIndia",1,"While we are celebrating pride, we should also understand that we are denying non-binary people rights because of prejudices of the Supreme Court.",1.0,0.0,0.0,0.0,0.0,0.0
2468,"I think literally anyone can be in Smash now after that announcement, so look out for the other four DLC announcements of Crash, Goku, Ronald McDonald and Neville LongBottom in the future #SmashBrosUltimate #Persona5",1,,0.0,0.0,1.0,0.0,0.0,0.0
3087,Neil DeGrasse Tyson Presents: Space Odyssey The Game HTTPURL,1,,0.0,0.0,1.0,0.0,0.0,0.0
574,"@USER @USER @USER Yup, that 856M box office for Venom is rough.",1,,0.0,1.0,0.0,0.0,0.0,0.0
