tweet_id,tweet,sarcastic,rephrase,dialect
279.0,الأيفون غالى ومش هعرف أجيبه غير لما موديله يقدم,0,الحمدلله ايفون 8 كدا سعره هينزل ابقي اجيبه بقي,nile
,الوضع لوز,1,الوضع ممتاز,levant
,مؤكد العربية ديه حتنطلق للخلف بتوجيهاتكم,1,لن تستطيعوا تصنيع السيارة لانكم فاشلون جدا,nile
,صاحبي ده يقولي انا خلاص دقيقتن واكون قدامك فعلا دقيقتن ويكون معايا,1,بيكون نايم ف السرير لسه ويقولي دقيقتين وهكون قدامك,nile
714.0,عايزين تعرفوا الشروط هوا شرط واحد يستخدم فى كل وظيفة صنية كوسة,1,الواسطة هي اهم شيء للعمل,nile
,الدنيا مترو والشمال كتروا,1,البنات الفاسقات كتروا فى المجتمع,nile
632.0,مفكره نفسها جميله ومثيره وهى غير كده,0,دى مفكره نفسها مارلين مرنوه :grinning_face_with_big_eyes:,nile
,أسوء أكل بعد أكل مال اليتيم,1,مداق سيئ,magreb
631.0,هوه حد هيعد وراكو الورق ورقنا والدفاتر دفترنا الناس خلاص فهمت,1,ارقام لا مصداقية لها وبيانات زائفة,nile
,حسام البدري بياخد ٨٠٠ الف في الشهر بيلعب ٥ ماتشات في السنة بيتعادل منهم ٤ يعني النقطة واقفة علينا بمليون ونص,1,مدرب فاشل وبياخد فلوس كتير عالفاضي,nile
404.0,صاحبك الاصيل مهما انت عملت فيه مش هيزعل منك,0,صاحبك الحقيقي هو اللي تقوله يا حمار يقولك نعم,nile
,علاقة ترامب بالسياسه زى علاقتى باللغه الصينيه,1,ترامب فاشل على المستوى السياسي,nile
,الوضع لوز,1,الوضع ممتاز,levant
,ياريت يفوزوا فوز واحد ويفرحونا ,0,مرار طافح هما منوينش يفوزو عليهم حتا واحد صفر تخليص حق,nile
,الأيفون غالى ومش هعرف أجيبه غير لما موديله يقدم,0,الحمدلله ايفون 8 كدا سعره هينزل ابقي اجيبه بقي,nile
655.0,الاغنية بتشجع علي الاستقلالية ليا وللبنات,0,انا كل ما اسمع الاغنيه الجديدة لامال ماهر ببقي عايز اسيب البيت والم هدومي ف كيسه بلاستيك,nile
489.0,أنت بترد علي البنات بس,0,اه منا لو كنت بنت كنت رديت عليا,nile
509.0,الادويه مش نافعه,0,الادويه اليومين دول بتزود المرض,nile
,محدش شاف ترامب يا جدعان ؟ أصله كان بيقول انه متفوق على بايدن في الاصوات,1,ترامب كاذب,nile
47.0,الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1,يعنى الجواز كله مشاكل ماحدش بياخد عبره من الناس اللى قبله,nile
,نافق المديرة علشان أمورك تبقى كويسة فى الشغل,0,المديره دى صعبة خالص طبلها علشان تعدى يومك,nile
700.0,وحده تقول :  الرجوله افعال اما الشنب حتى النساء يمكن ان يكون لهم شنب,0,وحده تقول :  الرجوله افعال اما الشنب حتى صديقاتي عندهم,nile
,علي وضعك يازميلي,1,انت كفئ لهذا العمل,nile
127.0,ان الناس خطر علي بعضهم,0,اكبر خطر يهدد الانسان في هذه الدنيا هو الانسان,nile
